Brand,ProductType,Collection,ShadeName,ShadeCode,ProductURL,SwatchImageURL,ApproxHex
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Masquerade,CNDSMASQ,https://www.jklondon.com/products/cnd-shellac-masquerade-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/Masquerade_05e760c4-8bd1-435e-851a-7be51d04075f.jpg?v=1656509476,#512F33
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Satin Slippers,CNDSSSL,https://www.jklondon.com/products/cnd-shellac-satin-slippers-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/satinslippers.jpg?v=1656590918,#ADA0A0
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Tinted Love,CNDSTLO,https://www.jklondon.com/products/cnd-shellac-tinted-love-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/TintedLove.jpg?v=1656591566,#432628
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Winter Glow,CNDSWGL,https://www.jklondon.com/products/cnd-shellac-winter-glow-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/WinterGlow.jpg?v=1656592076,#A08088
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Blush Teddy,CNDSBTED,https://www.jklondon.com/products/cnd-shellac-blush-teddy-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/BlushTeddy.jpg?v=1726238536,#A37579
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Cashmere Wrap,CNDSCWR,https://www.jklondon.com/products/cnd-shellac-cashmere-wrap-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/Cashmerewrap.jpg?v=1726239649,#90847E
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Rouge Rite,CNDSRRIT,https://www.jklondon.com/products/cnd-shellac-rouge-rite-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/RougeRite.jpg?v=1656590716,#571C2D
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Backyard Nuptials,CNDSBN,https://www.jklondon.com/products/cnd-shellac-backyard-nuptials-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/files/cnd-shellac-7-3ml-backyard-and-nuptials.jpg?v=1689928295,#998B8D
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Field Fox,CNDSFFO,https://www.jklondon.com/products/cnd-shellac-field-fox-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/FieldFox.jpg?v=1726240635,#806260
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Naked Naivete,CNDSNNA,https://www.jklondon.com/products/cnd-shellac-naked-naivete-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/NakedNaivete.jpg?v=1656589675,#998886
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Bare Chemise,CNDSBCHE,https://www.jklondon.com/products/cnd-shellac-bare-chemise-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/BareChemise.jpg?v=1726238004,#A68073
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Dark Dahlia,CNDSDDA,https://www.jklondon.com/products/cnd-shellac-dark-dahlia-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/DarkDahlia.jpg?v=1726240017,#2C2725
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Rose Bud,CNDSRBUD,https://www.jklondon.com/products/cnd-shellac-rose-bud-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/RoseBud.jpg?v=1656590696,#925257
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Magical Topiary,CNDSMAT,https://www.jklondon.com/products/cnd-shellac-magical-topiary-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/magicaltopiary.jpg?v=1656509411,#86998A
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Mambo Beat,CNDSMB,https://www.jklondon.com/products/cnd-shellac-mambo-beat-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/MamboBeat.jpg?v=1659351977,#9A2329
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Charm,CNDSCHAR,https://www.jklondon.com/products/cnd-shellac-charm-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/charm.jpg?v=1726239749,#A93E4B
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Aura,CNDSAURA,https://www.jklondon.com/products/cnd-shellac-aura-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/AURA_7084a673-df57-47da-a865-16150e33611d.jpg?v=1726236600,#233128
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Black Cherry,CNDSBCH,https://www.jklondon.com/products/cnd-shellac-black-cherry-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/blackcherry.jpg?v=1726238419,#3A262C
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Beach Escape,CNDSBE,https://www.jklondon.com/products/cnd-shellac-beach-escape-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/Beachescape.jpg?v=1726238278,#B04654
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Aurora,CNDSAUO,https://www.jklondon.com/products/cnd-shellac-aurora-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/shellacaurora.jpg?v=1628676750,#A79498
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Bloodline,CNDSBLIN,https://www.jklondon.com/products/cnd-shellac-bloodline-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/BLOODLINE_977f9392-f44c-4e37-a86f-960e0b439d65.jpg?v=1726238473,#4E262F
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Butterfly Queen,CNDSBQU,https://www.jklondon.com/products/cnd-shellac-butterfly-queen-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/ButterflyQueen.jpg?v=1726238782,#773D58
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Clearly Pink,CNDSCPI,https://www.jklondon.com/products/cnd-shellac-clearly-pink-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/ClearlyPink.jpg?v=1726239808,#A98C8A
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Cake Pop,CNDSCPOP,https://www.jklondon.com/products/cnd-shellac-cake-pop-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/CakePop.jpg?v=1726238797,#A58889
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Hot or Knot,CNDSHOK,https://www.jklondon.com/products/cnd-shellac-hot-or-knot-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/hotorknot.jpg?v=1726240925,#952D20
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Married to Mauve,CNDSMTM,https://www.jklondon.com/products/cnd-shellac-married-to-mauve-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/MARRIED-TO-MAUVE_6e558817-c373-490c-8e2c-6223a9ce5596.jpg?v=1656509451,#754D4D
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Sultry Sunset,CNDSSU,https://www.jklondon.com/products/cnd-shellac-sultry-sunset-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/SultrySunset.jpg?v=1656591436,#7E3A59
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Gotcha,CNDSGOTC,https://www.jklondon.com/products/cnd-shellac-gotcha-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/Gotcha_365bb58d-a39c-4981-8aac-0102e1cc5866.jpg?v=1656508694,#A15964
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Fuji Love,CNDSFLOV,https://www.jklondon.com/products/cnd-shellac-fuji-love-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/FujiLove.jpg?v=1656508562,#895E63
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Cherry Apple,CNDSCA,https://www.jklondon.com/products/cnd-shellac-cherry-apple-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/cherryapple.jpg?v=1726239764,#692E37
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Hot Chillis,CNDSHC,https://www.jklondon.com/products/cnd-shellac-hot-chillis-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/HotChilis.jpg?v=1726240899,#81323E
