Brand,Product Type,Category,Shade Name,ProductURL
The GelBottle Inc.,GelColor,Shimmery,Veil MINI,https://thegelbottle.com/shop/gel-colour/minis/veil-mini/
The GelBottle Inc.,GelColor,Glitter,Something Blue MINI,https://thegelbottle.com/shop/gel-colour/minis/something-blue-mini/
The GelBottle Inc.,GelColor,Shimmery,I Do MINI,https://thegelbottle.com/shop/gel-colour/minis/i-do-mini/
The GelBottle Inc.,GelColor,Shimmery,Ever After MINI,https://thegelbottle.com/shop/gel-colour/minis/ever-after-mini/
The GelBottle Inc.,GelColor,Standard,Orange Soda Mini,https://thegelbottle.com/shop/gel-colour/orange-soda-mini/
The GelBottle Inc.,GelColor,Standard,Milkshake Mini,https://thegelbottle.com/shop/gel-colour/milkshake-mini/
The GelBottle Inc.,GelColor,Standard,Sundae Mini,https://thegelbottle.com/shop/gel-colour/sundae-mini/
The GelBottle Inc.,GelColor,Standard,Heist Mini,https://thegelbottle.com/autumn-edit/heist-mini/
The GelBottle Inc.,GelColor,Magnetic,Decoy Magnetic Mini,https://thegelbottle.com/autumn-edit/decoy-magnetic-mini/
The GelBottle Inc.,GelColor,Standard,Alibi Mini,https://thegelbottle.com/autumn-edit/alibi-mini/
The GelBottle Inc.,GelColor,Standard,Sprinkles Mini,https://thegelbottle.com/shop/gel-colour/sprinkles-mini/
The GelBottle Inc.,GelColor,Standard,Getaway Mini,https://thegelbottle.com/autumn-edit/getaway-mini/
The GelBottle Inc.,GelColor,Standard,Classified Mini,https://thegelbottle.com/autumn-edit/classified-mini/
The GelBottle Inc.,GelColor,Standard,Brighton Rock Mini,https://thegelbottle.com/shop/gel-colour/brighton-rock-mini/
The GelBottle Inc.,GelColor,Standard,Fries Mini,https://thegelbottle.com/shop/gel-colour/fries-mini/
The GelBottle Inc.,GelColor,Standard,Cowgirl Mini,https://thegelbottle.com/gel-colour/cowgirl-mini/
The GelBottle Inc.,GelColor,Shimmery,Meant to Be MINI,https://thegelbottle.com/shop/gel-colour/minis/meant-to-be-mini/
The GelBottle Inc.,GelColor,Magnetic,Fortune Magnetic Mini,https://thegelbottle.com/autumn-edit/fortune-magnetic-mini/
The GelBottle Inc.,GelColor,Standard,Glow Top Mini,https://thegelbottle.com/shop/gel-colour/minis/glow-top-mini/
The GelBottle Inc.,GelColor,Sheer,GelPot 2.,https://thegelbottle.com/gel-colour/gelpot-2/
The GelBottle Inc.,GelColor,Shimmery,Key Lime Pie Mini,https://thegelbottle.com/shop/gel-colour/key-lime-pie-mini/
The GelBottle Inc.,GelColor,Sheer,GelPot 4.,https://thegelbottle.com/gel-colour/gelpot-4/
The GelBottle Inc.,GelColor,Magnetic,Vault Magnetic Mini,https://thegelbottle.com/autumn-edit/vault-magnetic-mini/
The GelBottle Inc.,GelColor,Standard,Crypto Mini,https://thegelbottle.com/autumn-edit/crypto-mini/
The GelBottle Inc.,GelColor,Standard,Rogue Mini,https://thegelbottle.com/autumn-edit/rogue-mini/
The GelBottle Inc.,GelColor,Standard,Mission Mini,https://thegelbottle.com/autumn-edit/mission-mini/
The GelBottle Inc.,GelColor,Sheer,GelPot 5.,https://thegelbottle.com/gel-colour/gelpot-5/
The GelBottle Inc.,GelColor,Standard,Extreme Shine Top Coat Mini.,https://thegelbottle.com/gel-colour/extreme-shine-top-coat-mini/
The GelBottle Inc.,GelColor,Standard,Banana Split Mini,https://thegelbottle.com/shop/gel-colour/banana-split-mini/
The GelBottle Inc.,GelColor,Standard,2-In-1 Base Coat Mini.,https://thegelbottle.com/gel-colour/2-in-1-base-coat-mini/
The GelBottle Inc.,GelColor,Shimmery,Winter Glitz,https://thegelbottle.com/colours/winter-glitz/
The GelBottle Inc.,GelColor,Standard,Rubber Base Mini.,https://thegelbottle.com/gel-colour/rubber-base-mini/
The GelBottle Inc.,GelColor,Standard,Powder Mini,https://thegelbottle.com/gel-colour/powder-mini/
The GelBottle Inc.,GelColor,Standard,Eggshell Mini,https://thegelbottle.com/gel-colour/eggshell-mini/
