Brand,Product Type,Collection,Category,Shade Name,ApproxHex,ProductURL,SwatchURL
The GelBottle Inc.,GelColor,,Sheer,Pure,#EBD2DB,https://thegelbottle.com/gel-colour/pure/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2065/images/385863/ededb7bd43453c48271dc077a6815b71147b008e_01_25020_EC_POP_PURE_FINAL_1500x1500crop_72dpi__81533.1758289490.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Sheer,Lace,#F3E7E7,https://thegelbottle.com/gel-colour/lace/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2066/images/386033/64a2abc0f35c8d04b55e7f96fd16f5cef8239edd_01_25020_EC_POP_LACE_FINAL_1500x1500crop_72dpi__53935.1758289490.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Sheer,Dove,#EFEBEA,https://thegelbottle.com/gel-colour/dove/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2067/images/387325/488679ade14f8d7bc514e4e53ec8bfa0ba2250b4_01_25020_EC_POP_DOVE_FINAL_1500x1500crop_72dpi__89998.1758289489.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Sheer,Haze,#EDDCD7,https://thegelbottle.com/gel-colour/haze/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2069/images/387807/4fb3bcde5937e36a7d3af40918b513beb8fcc078_01_25020_EC_POP_HAZE_FINAL_1500x1500crop_72dpi__37558.1758289491.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Sheer,Dusk,#E8CCB9,https://thegelbottle.com/gel-colour/dusk/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2068/images/387762/97d36d6578a29231c2cb82829fb906121f87c886_01_25020_EC_POP_DUSK_FINAL_1500x1500crop_72dpi__91712.1758289491.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Reflective,Decade,#A9A9A9,https://thegelbottle.com/gel-colour/decade/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2153/images/382926/ac5546b126bb294c4596ca6cd7f93dc37f320a7b_01_25023_EC_POP_7974_FINAL_1500x1500crop_72dpi__85451.1758289491.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Bougie Magnetic,#C29697,https://thegelbottle.com/gel-colour/bougie-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2044/images/387313/9052c0d98e68e0b7696bb688ca518d76d505550c_01_25016_EC_POP_BOUGIE_FINAL_1500x1500crop_72dpi__48766.1758289488.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Celestial Magnetic,#E8CFBF,https://thegelbottle.com/gel-colour/celestial-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2039/images/385809/06f4c7485251409f31462dc03e4ee3881a83d5d8_01_25016_EC_POP_CELESTIAL_FINAL_1500x1500crop_72dpi__46389.1758289487.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,"Magnetic, Cat-eye",Flare Magnetic,#C6A897,https://thegelbottle.com/gel-colour/flare-magnetic/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2043/images/385544/4e259466fdaf62ac3f9be70d7b57083e6c1f109e_01_25016_EC_POP_FLARE_FINAL_1500x1500crop_72dpi__88627.1758289488.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Route 66,#CA1F2D,https://thegelbottle.com/gel-colour/route-66/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1997/images/387525/a30c21ae754805427c2580976540e5390cca4f59_Small_01_25008_EC_POPS_ROUTE66_8994_FINAL_1500x1500crop_72dpi__08200.1758289487.220.290.jpg?c=1
